Belt Level,Belt ID,,Section ID,Title,Category,Content Summary,Question Count,Sample Questions
3rd Keup,3rd_keup,2,pattern_meaning,Hwa Rang Meaning,Pattern Knowledge,,2,
3rd Keup,3rd_keup,3,pattern_meaning,Toi Gye Meaning,Pattern Knowledge,,2,
5th Keup,5th_keup,4,pattern_meaning,Joong Gun Meaning,Pattern Knowledge,,2,
5th Keup,5th_keup,5,pattern_meaning,Yul Gok Meaning,Pattern Knowledge,,2,
7th Keup,7th_keup,6,pattern_meaning,Won Hyo Meaning,Pattern Knowledge,,2,
7th Keup,7th_keup,7,pattern_meaning,Do San Meaning,Pattern Knowledge,,2,
9th Keup,9th_keup,8,pattern_meaning,Dan Gun Meaning,Pattern Knowledge,,2,
9th Keup,9th_keup,9,pattern_meaning,Chon Ji Meaning,Pattern Knowledge,,2,
1st Keup,1st_keup,1,pattern_moves,Choong Moo Moves,Pattern Knowledge,30,2,
3rd Keup,3rd_keup,2,pattern_moves,Hwa Rang Moves,Pattern Knowledge,29,2,
3rd Keup,3rd_keup,3,pattern_moves,Toi Gye Moves,Pattern Knowledge,32,2,
5th Keup,5th_keup,4,pattern_moves,Joong Gun Moves,Pattern Knowledge,37,2,
5th Keup,5th_keup,5,pattern_moves,Yul Gok Moves,Pattern Knowledge,38,2,
7th Keup,7th_keup,6,pattern_moves,Won Hyo Moves,Pattern Knowledge,28,2,
7th Keup,7th_keup,7,pattern_moves,Do San Moves,Pattern Knowledge,24,2,
9th Keup,9th_keup,8,pattern_moves,Dan Gun Moves,Pattern Knowledge,21,2,
9th Keup,9th_keup,9,pattern_moves,Chon Ji Moves,Pattern Knowledge,19,2,
1st Keup,1st_keup,1,belt_knowledge,,Belt Knowledge,,2,
3rd Keup,3rd_keup,2,belt_knowledge,,Belt Knowledge,,2,
3rd Keup,3rd_keup,3,belt_knowledge,,Belt Knowledge,,2,
5th Keup,5th_keup,4,belt_knowledge,,Belt Knowledge,,2,
5th Keup,5th_keup,5,belt_knowledge,,Belt Knowledge,,2,
7th Keup,7th_keup,6,belt_knowledge,,Belt Knowledge,,2,
7th Keup,7th_keup,7,belt_knowledge,,Belt Knowledge,,2,
9th Keup,9th_keup,8,belt_knowledge,,Belt Knowledge,,2,
9th Keup,9th_keup,9,belt_knowledge,,Belt Knowledge,,2,
10th Keup,10th_keup,10,belt_knowledge,,Belt Knowledge,,1,
1st Keup,1st_keup,1,tkd_history,,TKD History,,2,
3rd Keup,3rd_keup,2,tkd_history,,TKD History,,2,
3rd Keup,3rd_keup,3,tkd_history,,TKD History,,2,
5th Keup,5th_keup,4,tkd_history,,TKD History,,2,
5th Keup,5th_keup,5,tkd_history,,TKD History,,2,
7th Keup,7th_keup,6,tkd_history,,TKD History,,2,
7th Keup,7th_keup,7,tkd_history,,TKD History,,2,
9th Keup,9th_keup,8,tkd_history,,TKD History,,2,
9th Keup,9th_keup,9,tkd_history,,TKD History,,2,
10th Keup,10th_keup,10,tkd_history,,TKD History,,1,
1st Keup,1st_keup,1,set_sparring,,Set Sparring,,2,
3rd Keup,3rd_keup,2,set_sparring,,Set Sparring,,2,
3rd Keup,3rd_keup,3,set_sparring,,Set Sparring,,2,
5th Keup,5th_keup,4,set_sparring,,Set Sparring,,2,
5th Keup,5th_keup,5,set_sparring,,Set Sparring,,2,
7th Keup,7th_keup,6,set_sparring,,Set Sparring,,2,
7th Keup,7th_keup,7,set_sparring,,Set Sparring,,2,
9th Keup,9th_keup,8,set_sparring,,Set Sparring,,2,
9th Keup,9th_keup,9,set_sparring,,Set Sparring,,2,
10th Keup,10th_keup,10,set_sparring,,Set Sparring,,1,
1st Keup,1st_keup,1,,,Philosophy,,2,
3rd Keup,3rd_keup,2,,,Philosophy,,2,
3rd Keup,3rd_keup,3,,,Philosophy,,2,
5th Keup,5th_keup,4,,,Philosophy,,2,
5th Keup,5th_keup,5,,,Philosophy,,2,
7th Keup,7th_keup,6,,,Philosophy,,2,
7th Keup,7th_keup,7,,,Philosophy,,2,
9th Keup,9th_keup,8,,,Philosophy,,2,
9th Keup,9th_keup,9,,,Philosophy,,2,
10th Keup,10th_keup,10,,,Philosophy,,1,
1st Keup,1st_keup,1,,,Philosophy,,2,
3rd Keup,3rd_keup,2,,,Philosophy,,2,
3rd Keup,3rd_keup,3,,,Philosophy,,2,
5th Keup,5th_keup,4,,,Philosophy,,2,
5th Keup,5th_keup,5,,,Philosophy,,2,
7th Keup,7th_keup,6,,,Philosophy,,2,
7th Keup,7th_keup,7,,,Philosophy,,2,
9th Keup,9th_keup,8,,,Philosophy,,2,
9th Keup,9th_keup,9,,,Philosophy,,2,
10th Keup,10th_keup,10,,,Philosophy,,1,
1st Keup,1st_keup,1,,,Philosophy,,2,
3rd Keup,3rd_keup,2,,,Philosophy,,2,
3rd Keup,3rd_keup,3,,,Philosophy,,2,
5th Keup,5th_keup,4,,,Philosophy,,2,
5th Keup,5th_keup,5,,,Philosophy,,2,
7th Keup,7th_keup,6,,,Philosophy,,2,
7th Keup,7th_keup,7,,,Philosophy,,2,
9th Keup,9th_keup,8,,,Philosophy,,2,
9th Keup,9th_keup,9,,,Philosophy,,2,
10th Keup,10th_keup,10,,,Philosophy,,1,
1st Keup,1st_keup,1,,,Organisation,,2,
3rd Keup,3rd_keup,2,,,Organisation,,2,
3rd Keup,3rd_keup,3,,,Organisation,,2,
5th Keup,5th_keup,4,,,Organisation,,2,
5th Keup,5th_keup,5,,,Organisation,,2,
7th Keup,7th_keup,6,,,Organisation,,2,
7th Keup,7th_keup,7,,,Organisation,,2,
9th Keup,9th_keup,8,,,Organisation,,2,
9th Keup,9th_keup,9,,,Organisation,,2,
10th Keup,10th_keup,10,,,Organisation,,1,
